controller, swarm_size, #run, score, objects, robots
main, 5, 0, 2, 0, 2
main, 5, 1, 2, 2, 4
main, 5, 2, -1, 4, 3
main, 5, 3, -1, 5, 4
main, 5, 4, 4, 1, 5
main, 5, 5, -1, 3, 2
main, 5, 7, 2, 2, 4 
main, 5, 8, -2, 4, 2
main, 5, 9, 2, 0, 2
main, 10, 0, -5, 9, 4
main, 10, 1, -6, 12, 6
main, 10, 2, -5, 15, 10
main, 10, 3, 5, 1, 5
main, 10, 4, 2, 0, 2
main, 10, 5, -4, 12, 8
main, 10, 6, -6, 10, 4
main, 10, 7, 0, 7, 7
main, 10, 8, 3, 7, 10
main, 10, 9, 3, 5, 8
main, 20, 0, -28, 41, 13
main, 20, 1, -13, 27, 14
main, 20, 2, -20, 33, 13
main, 20, 3, -8, 25, 17
main, 20, 4, -18, 31, 13
main, 20, 5, -2, 12, 10
main, 20, 6, -9, 20, 11
main, 20, 7, -14, 18, 4
main, 20, 8, 0, 9, 9
main, 20, 9, -12, 24, 12
main, 30, 0, -15, 29, 14
main, 30, 1, 5, 10, 15
main, 30, 2, -38, 53, 15
main, 30, 3, -12, 28, 16
main, 30, 4, -1, 15, 14
main, 30, 5, -44, 59, 15
main, 30, 6, -23, 43, 20
main, 30, 7, -28, 52, 24
main, 30, 8, -38, 59, 21
main, 30, 9, -21, 40, 19
baseline, 5, 0, -13, 17, 4
baseline, 5, 1, -8, 10, 2
baseline, 5, 2, -8, 11, 3
baseline, 5, 3, -8, 10, 2
baseline, 5, 4, -1, 2, 1
baseline, 5, 5, -11, 16, 5
baseline, 5, 6, -2, 4, 2
baseline, 5, 7, -6, 8, 2
baseline, 5, 8, -4, 5, 1
baseline, 5, 9, -3, 4, 1
baseline, 10, 0, -26, 33, 7
baseline, 10, 1, -21, 27, 6
baseline, 10, 2, -24, 30, 6
baseline, 10, 3, -18, 24, 6
baseline, 10, 4, -19, 24, 5
baseline, 10, 5, -20, 25, 5
baseline, 10, 6, -20, 27, 7
baseline, 10, 7, -11, 17, 6
baseline, 10, 8, -15, 22, 7
baseline, 10, 9, -7, 9, 2
baseline, 20, 0, -59, 74, 15
baseline, 20, 1, -46, 61, 15
baseline, 20, 2, -51, 65, 14
baseline, 20, 3, -35, 48, 13
baseline, 20, 4, -40, 52, 12
baseline, 20, 5, -31, 46, 15
baseline, 20, 6, -51, 61, 10
baseline, 20, 7, -26, 42, 16
baseline, 20, 8, -45, 57, 12
baseline, 20, 9, -47, 58, 11
baseline, 30, 0, -57, 76, 19
baseline, 30, 1, -65, 84, 19
baseline, 30, 2, -60, 76, 16
baseline, 30, 3, -40, 63, 23
baseline, 30, 4, -76, 99, 23
baseline, 30, 5, -69, 95, 26
baseline, 30, 6, -67, 90, 23
baseline, 30, 7, -85, 102, 17
baseline, 30, 8, -65, 84, 19
baseline, 30, 9, -82, 100, 18

